Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;Status;Versch.;Stadion;Zus.;Id;Liga;Region;Phase
Di;14.11.2017;19:45;Genève-Servette HC;EHC Kloten; 4:3; 1:1|1:1|1:1|1:0;SO;Ende;False;Les Vernets, 1227 Les Acacias GE;5398;20181105000122;NL;CH;Regular Season
Di;14.11.2017;19:45;Lausanne HC;HC Ambri-Piotta; 1:0; 1:0|0:0|0:0;;Ende;False;Centre Sportif Malley, 1008 Lausanne VD;6006;20181105000123;NL;CH;Regular Season
Di;14.11.2017;19:45;HC Lugano;Fribourg-Gottéron; 2:4; 2:0|0:1|0:3;;Ende;False;Piste Resega, 6948 Porza Ti;5303;20181105000124;NL;CH;Regular Season
Di;14.11.2017;19:45;SCL Tigers;HC Davos; 2:1; 0:1|1:0|0:0|1:0;OT;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;5778;20181105000125;NL;CH;Regular Season
Di;14.11.2017;19:45;ZSC Lions;SC Bern; 3:1; 0:1|2:0|1:0;;Ende;False;Hallenstadion, 8050 Zürich ZH;9379;20181105000126;NL;CH;Regular Season
Do;16.11.2017;19:45;Genève-Servette HC;EV Zug; 0:3; 0:0|0:1|0:2;;Ende;False;Les Vernets, 1227 Les Acacias GE;5159;20181105000136;NL;CH;Regular Season
Fr;17.11.2017;19:45;HC Davos;EHC Biel-Bienne; 3:2; 1:2|2:0|0:0;;Ende;False;Vaillant Arena, 7270 Davos-Platz GR;3907;20181105000127;NL;CH;Regular Season
Fr;17.11.2017;19:45;Fribourg-Gottéron;SCL Tigers; 4:2; 1:0|0:1|3:1;;Ende;False;BCF Arena, 1700 Fribourg FR;5694;20181105000128;NL;CH;Regular Season
Fr;17.11.2017;19:45;Lausanne HC;ZSC Lions; 2:5; 2:3|0:1|0:1;;Ende;False;Centre Sportif Malley, 1008 Lausanne VD;6321;20181105000130;NL;CH;Regular Season
Fr;17.11.2017;19:45;EV Zug;HC Ambri-Piotta; 4:2; 1:2|1:0|2:0;;Ende;False;BOSSARD Arena, 6303 Zug;7100;20181105000132;NL;CH;Regular Season
