Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;Status;Versch.;Stadion;Zus.;Id;Liga;Region;Phase
Fr;09.10.2015;19:45;Fribourg-Gottéron;EV Zug; 6:3; 3:1|1:2|2:0;;Ende;False;BCF Arena, Fribourg;5819;20161105071057;NL A;CH;Regular Season
Fr;09.10.2015;19:45;EHC Kloten;Genève-Servette HC; 3:1; 1:1|1:0|1:0;;Ende;False;SWISS Arena, Kloten;3328;20161105071058;NL A;CH;Regular Season
Fr;09.10.2015;19:45;ZSC Lions;HC Davos; 3:2; 1:1|1:0|1:1;;Ende;False;Hallenstadion AG, Zürich;9947;20161105071060;NL A;CH;Regular Season
Sa;10.10.2015;19:45;HC Ambri-Piotta;EHC Kloten; 1:4; 0:2|0:0|1:2;;Ende;False;Stadio Valascia, Ambri;5236;20161105071061;NL A;CH;Regular Season
Sa;10.10.2015;19:45;HC Davos;Lausanne HC; 2:4; 2:0|0:3|0:1;;Ende;False;Vaillant Arena, Davos;4718;20161105071062;NL A;CH;Regular Season
Sa;10.10.2015;19:45;Genève-Servette HC;SC Bern; 5:4; 2:1|1:0|2:3;;Ende;False;Les Vernets, Genève;6599;20161105071063;NL A;CH;Regular Season
Sa;10.10.2015;19:45;SCL Tigers;Fribourg-Gottéron; 5:2; 1:0|1:0|3:2;;Ende;False;Ilfis Stadion, Langnau;6000;20161105071064;NL A;CH;Regular Season
Sa;10.10.2015;19:45;HC Lugano;ZSC Lions; 2:3; 1:1|1:1|0:0;OT;Ende;False;Pista Resega, Porza;5634;20161105071065;NL A;CH;Regular Season
Sa;10.10.2015;19:45;EV Zug;EHC Biel-Bienne; 3:4; 1:0|1:2|1:1|0:1;SO;Ende;False;BOSSARD Arena, Zug;5917;20161105071066;NL A;CH;Regular Season
Di;13.10.2015;19:45;SC Bern;Genève-Servette HC; 3:2; 1:1|1:0|0:1|1:0;SO;Ende;False;PostFinance-Arena, Bern;15056;20161105071067;NL A;CH;Regular Season
Di;13.10.2015;19:45;EHC Biel-Bienne;EV Zug; 2:3; 1:0|0:2|1:1;;Ende;False;Tissot Arena, Biel-Bienne;5351;20161105071068;NL A;CH;Regular Season
Di;13.10.2015;19:45;Fribourg-Gottéron;SCL Tigers; 2:1; 0:0|1:0|1:1;;Ende;False;BCF Arena, Fribourg;5606;20161105071069;NL A;CH;Regular Season
Di;13.10.2015;19:45;EHC Kloten;HC Ambri-Piotta; 2:5; 0:2|2:2|0:1;;Ende;False;SWISS Arena, Kloten;3896;20161105071070;NL A;CH;Regular Season
Di;13.10.2015;19:45;Lausanne HC;HC Davos; 1:6; 1:0|0:4|0:2;;Ende;False;P. de Malley, Lausanne;6747;20161105071071;NL A;CH;Regular Season
Di;13.10.2015;19:45;ZSC Lions;HC Lugano; 5:3; 0:1|4:1|1:1;;Ende;False;Hallenstadion AG, Zürich;9109;20161105071072;NL A;CH;Regular Season
Do;15.10.2015;19:45;Genève-Servette HC;SCL Tigers; 4:0; 2:0|2:0|0:0;;Ende;False;Les Vernets, Genève;5981;20161105071081;NL A;CH;Regular Season
Fr;16.10.2015;19:45;HC Ambri-Piotta;Genève-Servette HC; 5:2; 1:1|1:1|3:0;;Ende;False;Stadio Valascia, Ambri;5080;20161105071073;NL A;CH;Regular Season
Fr;16.10.2015;19:45;EHC Biel-Bienne;EHC Kloten; 3:2; 3:1|0:0|0:1;;Ende;False;Tissot Arena, Biel-Bienne;5519;20161105071074;NL A;CH;Regular Season
Fr;16.10.2015;19:45;Fribourg-Gottéron;HC Davos; 4:2; 1:1|0:1|3:0;;Ende;False;BCF Arena, Fribourg;6173;20161105071075;NL A;CH;Regular Season
Fr;16.10.2015;19:45;SCL Tigers;SC Bern; 4:2; 1:2|2:0|1:0;;Ende;False;Ilfis Stadion, Langnau;6000;20161105071076;NL A;CH;Regular Season
Fr;16.10.2015;19:45;Lausanne HC;ZSC Lions; 1:2; 1:0|0:0|0:1;OT;Ende;False;P. de Malley, Lausanne;6447;20161105071077;NL A;CH;Regular Season
Fr;16.10.2015;19:45;EV Zug;HC Lugano; 5:1; 2:0|3:0|0:1;;Ende;False;BOSSARD Arena, Zug;6626;20161105071078;NL A;CH;Regular Season
Sa;17.10.2015;19:45;SC Bern;EHC Biel-Bienne; 4:1; 1:0|2:1|1:0;;Ende;False;PostFinance-Arena, Bern;15903;20161105071079;NL A;CH;Regular Season
Sa;17.10.2015;19:45;HC Davos;EV Zug; 2:3; 0:0|0:2|2:0;OT;Ende;False;Vaillant Arena, Davos;4705;20161105071080;NL A;CH;Regular Season
Sa;17.10.2015;19:45;EHC Kloten;Fribourg-Gottéron; 3:1; 1:1|1:0|1:0;;Ende;False;SWISS Arena, Kloten;4054;20161105071082;NL A;CH;Regular Season
Sa;17.10.2015;19:45;HC Lugano;Lausanne HC; 2:0; 0:0|1:0|1:0;;Ende;False;Pista Resega, Porza;5534;20161105071083;NL A;CH;Regular Season
Sa;17.10.2015;19:45;ZSC Lions;HC Ambri-Piotta; 5:2; 3:1|1:1|1:0;;Ende;False;Hallenstadion AG, Zürich;9544;20161105071084;NL A;CH;Regular Season
Di;20.10.2015;19:45;SC Bern;HC Ambri-Piotta; 6:3; 0:2|1:1|5:0;;Ende;False;PostFinance-Arena, Bern;14952;20161105071085;NL A;CH;Regular Season
Di;20.10.2015;19:45;HC Davos;HC Lugano; 5:0; 0:0|2:0|3:0;;Ende;False;Vaillant Arena, Davos;3989;20161105071086;NL A;CH;Regular Season
Di;20.10.2015;19:45;Genève-Servette HC;Fribourg-Gottéron; 3:5; 0:1|1:2|2:2;;Ende;False;Les Vernets, Genève;6778;20161105071087;NL A;CH;Regular Season
Di;20.10.2015;19:45;Lausanne HC;SCL Tigers; 4:3; 0:0|0:1|3:2;OT;Ende;False;P. de Malley, Lausanne;6644;20161105071089;NL A;CH;Regular Season
Di;20.10.2015;20:05;EHC Kloten;EV Zug; 3:1; 0:0|1:1|2:0;;Ende;False;SWISS Arena, Kloten;3589;20161105071088;NL A;CH;Regular Season
Di;20.10.2015;21:05;ZSC Lions;EHC Biel-Bienne; 6:1; 2:1|3:0|1:0;;Ende;False;Hallenstadion AG, Zürich;8837;20161105071090;NL A;CH;Regular Season
Fr;23.10.2015;19:45;HC Ambri-Piotta;HC Davos; 4:5; 0:2|3:2|1:1;;Ende;False;Stadio Valascia, Ambri;5128;20161105071091;NL A;CH;Regular Season
